Drug,Target,label,pChEMBL ,Drug_phase,Target_type,Target_cluster,Drug_cluster,
CHEMBL288441,CHEMBL4014,Positive,9.3,4,Enzyme_Kinase,2,0,
CHEMBL39,CHEMBL3155,Positive,9.22,3,membrance_receptor,0,0,
CHEMBL165,CHEMBL284,Positive,9.22,3,Enzyme_Protease,0,1,
CHEMBL4128926,CHEMBL226,Positive,9.21,0,membrance_receptor,0,2,
CHEMBL4128926,CHEMBL224,Positive,9.19,0,membrance_receptor,0,2,
CHEMBL3736320,CHEMBL1862,Positive,9.18,0,Enzyme_Kinase,2,3,
CHEMBL1908842,CHEMBL1844,Positive,9.16,0,Enzyme_Kinase,2,0,
CHEMBL4128926,CHEMBL245,Positive,9.14,0,membrance_receptor,0,2,
CHEMBL260417,CHEMBL2850,Positive,9.1,0,Enzyme_Kinase,1,1,
CHEMBL260417,CHEMBL262,Positive,9.1,0,Enzyme_Kinase,1,1,
CHEMBL1421,CHEMBL267,Positive,9.094444444,4,Enzyme_Kinase,2,0,
CHEMBL1289494,CHEMBL1955,Positive,9.065,4,Enzyme_Kinase,2,1,
CHEMBL388978,CHEMBL301,Positive,9.06,0,Enzyme_Kinase,1,0,
CHEMBL288441,CHEMBL1862,Positive,9.055,4,Enzyme_Kinase,2,0,
CHEMBL458865,CHEMBL1957,Positive,9.05,0,Enzyme_Kinase,2,0,
CHEMBL509032,CHEMBL4247,Positive,9.046666667,0,Enzyme_Kinase,2,2,
CHEMBL566515,CHEMBL1862,Positive,9.04,0,Enzyme_Kinase,2,1,
CHEMBL413,CHEMBL1902,Positive,9.026,4,Enzyme_rest,0,0,
CHEMBL4128926,CHEMBL2014,Positive,9.01,0,membrance_receptor,0,2,
CHEMBL261129,CHEMBL262,Positive,9,0,Enzyme_Kinase,1,0,
CHEMBL30432,CHEMBL203,Positive,9,0,Enzyme_Kinase,2,3,
CHEMBL388978,CHEMBL1075104,Positive,9,0,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL4501,Positive,9,0,Enzyme_Kinase,1,0,
CHEMBL288441,CHEMBL3587,Positive,9,4,Enzyme_Kinase,1,0,
CHEMBL535,CHEMBL1868,Positive,9,4,Enzyme_Kinase,2,0,
CHEMBL513897,CHEMBL4247,Positive,9,0,Enzyme_Kinase,2,0,
CHEMBL18,CHEMBL3594,Positive,9,4,Enzyme_Lyase,0,2,
CHEMBL261129,CHEMBL2850,Positive,9,0,Enzyme_Kinase,1,0,
CHEMBL388978,CHEMBL3905,Positive,8.991666667,0,Enzyme_Kinase,2,0,
CHEMBL18,CHEMBL205,Positive,8.96,4,Enzyme_Lyase,0,2,
CHEMBL388978,CHEMBL3384,Positive,8.96,0,Enzyme_Kinase,1,0,
CHEMBL1230609,CHEMBL4128,Positive,8.96,2,Enzyme_Kinase,2,0,
CHEMBL460702,CHEMBL4895,Positive,8.96,2,Enzyme_Kinase,2,1,
CHEMBL4128926,CHEMBL1889,Positive,8.96,0,membrance_receptor,0,2,
CHEMBL4128926,CHEMBL233,Positive,8.96,0,membrance_receptor,0,2,
CHEMBL288441,CHEMBL4454,Positive,8.96,4,Enzyme_Kinase,2,0,
CHEMBL566515,CHEMBL5072,Positive,8.96,0,Enzyme_Kinase,2,1,
CHEMBL4128926,CHEMBL237,Positive,8.96,0,membrance_receptor,0,2,
CHEMBL388978,CHEMBL1974,Positive,8.959285714,0,Enzyme_Kinase,2,0,
CHEMBL1289494,CHEMBL1868,Positive,8.94,4,Enzyme_Kinase,2,1,
CHEMBL566515,CHEMBL267,Positive,8.94,0,Enzyme_Kinase,2,1,
CHEMBL1873475,CHEMBL5251,Positive,8.938,4,Enzyme_Kinase,2,0,
CHEMBL1421,CHEMBL258,Positive,8.93,4,Enzyme_Kinase,2,0,
CHEMBL566515,CHEMBL3290,Positive,8.92,0,Enzyme_Kinase,2,1,
CHEMBL4128926,CHEMBL2327,Positive,8.92,0,membrance_receptor,0,2,
CHEMBL388978,CHEMBL2971,Positive,8.916,0,Enzyme_Kinase,2,0,
CHEMBL3359895,CHEMBL4630,Positive,8.89,0,Enzyme_Kinase,1,0,
CHEMBL566515,CHEMBL258,Positive,8.89,0,Enzyme_Kinase,2,1,
CHEMBL288441,CHEMBL258,Positive,8.89,4,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL4708,Positive,8.86,0,Enzyme_Kinase,1,0,
CHEMBL513909,CHEMBL3024,Positive,8.86,2,Enzyme_Kinase,1,0,
CHEMBL1173655,CHEMBL203,Positive,8.854,4,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL4237,Positive,8.85,0,Enzyme_Kinase,1,0,
CHEMBL388978,CHEMBL4527,Positive,8.85,0,Enzyme_Kinase,1,0,
CHEMBL270544,CHEMBL301,Positive,8.82,0,Enzyme_Kinase,1,2,
CHEMBL514138,CHEMBL1795103,Positive,8.82,0,Enzyme_Protease,0,2,
CHEMBL29197,CHEMBL203,Positive,8.814666667,0,Enzyme_Kinase,2,1,
CHEMBL1873475,CHEMBL3834,Positive,8.813333333,4,Enzyme_Kinase,2,0,
CHEMBL1421,CHEMBL5319,Positive,8.81,4,Enzyme_Kinase,2,0,
CHEMBL218490,CHEMBL205,Positive,8.807142857,4,Enzyme_Lyase,0,2,
CHEMBL409892,CHEMBL301,Positive,8.8,0,Enzyme_Kinase,1,2,
CHEMBL7463,CHEMBL3045,Positive,8.8,0,Enzyme_Kinase,1,0,
CHEMBL1230609,CHEMBL3717,Positive,8.799268293,2,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL4487,Positive,8.795,0,Enzyme_Kinase,1,0,
CHEMBL185962,CHEMBL4237,Positive,8.78,0,Enzyme_Kinase,1,3,
CHEMBL4128926,CHEMBL231,Positive,8.77,0,membrance_receptor,0,2,
CHEMBL4128926,CHEMBL228,Positive,8.77,0,Transporter,0,2,
CHEMBL388978,CHEMBL2815,Positive,8.76,0,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL3231,Positive,8.76,0,Enzyme_Kinase,1,0,
CHEMBL522892,CHEMBL1844,Positive,8.76,3,Enzyme_Kinase,2,0,
CHEMBL38,CHEMBL2003,Positive,8.753333333,4,Trascription_factor,0,1,
CHEMBL4128926,CHEMBL217,Positive,8.74,0,membrance_receptor,0,2,
CHEMBL288441,CHEMBL1841,Positive,8.74,4,Enzyme_Kinase,2,0,
CHEMBL460702,CHEMBL2689,Positive,8.74,2,Enzyme_Kinase,2,1,
CHEMBL1873475,CHEMBL3009,Positive,8.74,4,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL3982,Positive,8.74,0,Enzyme_Kinase,2,0,
CHEMBL1873475,CHEMBL4246,Positive,8.726666667,4,Enzyme_Kinase,2,0,
CHEMBL1421,CHEMBL5122,Positive,8.72,4,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL4101,Positive,8.72,0,Enzyme_Kinase,1,0,
CHEMBL1230609,CHEMBL279,Positive,8.707857143,2,Enzyme_Kinase,2,0,
CHEMBL288441,CHEMBL267,Positive,8.705652174,4,Enzyme_Kinase,2,0,
CHEMBL81,CHEMBL206,Positive,8.7,4,Trascription_factor,0,0,
CHEMBL491473,CHEMBL279,Positive,8.7,3,Enzyme_Kinase,2,0,
CHEMBL494089,CHEMBL3616,Positive,8.7,1,Enzyme_Kinase,1,0,
CHEMBL188381,CHEMBL279,Positive,8.7,0,Enzyme_Kinase,2,2,
CHEMBL2348865,CHEMBL2842,Positive,8.7,0,Enzyme_Kinase,0,0,
CHEMBL478629,CHEMBL267,Positive,8.7,0,Enzyme_Kinase,2,0,
CHEMBL249097,CHEMBL4367,Positive,8.7,0,Enzyme_Kinase,2,1,
CHEMBL494089,CHEMBL3920,Positive,8.7,1,Enzyme_Kinase,1,0,
CHEMBL572881,CHEMBL1868,Positive,8.7,3,Enzyme_Kinase,2,1,
CHEMBL191003,CHEMBL301,Positive,8.7,0,Enzyme_Kinase,1,2,
CHEMBL495696,CHEMBL301,Positive,8.7,0,Enzyme_Kinase,1,3,
CHEMBL4245507,CHEMBL2973,Positive,8.7,0,Enzyme_Kinase,1,0,
CHEMBL105442,CHEMBL3587,Positive,8.7,2,Enzyme_Kinase,1,1,
CHEMBL302449,CHEMBL2938,Positive,8.7,0,Enzyme_Kinase,1,0,
CHEMBL388978,CHEMBL2041,Positive,8.695,0,Enzyme_Kinase,2,0,
CHEMBL1289494,CHEMBL279,Positive,8.685,4,Enzyme_Kinase,2,1,
CHEMBL388978,CHEMBL3032,Positive,8.66,0,Enzyme_Kinase,1,0,
CHEMBL288441,CHEMBL4223,Positive,8.66,4,Enzyme_Kinase,2,0,
CHEMBL1289494,CHEMBL2007,Positive,8.65,4,Enzyme_Kinase,2,1,
CHEMBL388978,CHEMBL4630,Positive,8.64,0,Enzyme_Kinase,1,0,
CHEMBL269827,CHEMBL301,Positive,8.64,0,Enzyme_Kinase,1,2,
CHEMBL566515,CHEMBL2068,Positive,8.64,0,Enzyme_Kinase,2,1,
CHEMBL135,CHEMBL242,Positive,8.62,4,Trascription_factor,0,0,
CHEMBL494089,CHEMBL4282,Positive,8.612,1,Enzyme_Kinase,1,0,
CHEMBL221959,CHEMBL2148,Positive,8.602105263,4,Enzyme_Kinase,2,0,
CHEMBL39,CHEMBL214,Positive,8.6,3,membrance_receptor,0,0,
CHEMBL288441,CHEMBL5251,Positive,8.6,4,Enzyme_Kinase,2,0,
CHEMBL66292,CHEMBL262,Positive,8.6,0,Enzyme_Kinase,1,2,
CHEMBL388978,CHEMBL2599,Positive,8.59,0,Enzyme_Kinase,2,0,
CHEMBL302449,CHEMBL299,Positive,8.59,0,Enzyme_Kinase,1,0,
CHEMBL502835,CHEMBL240,Positive,8.59,4,Cytosolic_protein,0,0,
CHEMBL19,CHEMBL3594,Positive,8.585,4,Enzyme_Lyase,0,2,
CHEMBL288441,CHEMBL4599,Positive,8.57,4,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL5575,Positive,8.56,0,Enzyme_rest,0,0,
CHEMBL388978,CHEMBL2185,Positive,8.56,0,Enzyme_Kinase,1,0,
CHEMBL522892,CHEMBL1955,Positive,8.56,3,Enzyme_Kinase,2,0,
CHEMBL288441,CHEMBL3834,Positive,8.55,4,Enzyme_Kinase,2,0,
CHEMBL566515,CHEMBL5147,Positive,8.55,0,Enzyme_Kinase,2,1,
CHEMBL271595,CHEMBL301,Positive,8.55,0,Enzyme_Kinase,1,2,
CHEMBL1794055,CHEMBL301,Positive,8.55,0,Enzyme_Kinase,1,2,
CHEMBL1230609,CHEMBL1955,Positive,8.55,2,Enzyme_Kinase,2,0,
CHEMBL6291,CHEMBL262,Positive,8.54,0,Enzyme_Kinase,1,0,
CHEMBL566515,CHEMBL5810,Positive,8.54,0,Enzyme_Kinase,2,1,
CHEMBL1915438,CHEMBL2147,Positive,8.533333333,0,Enzyme_Kinase,1,3,
CHEMBL388978,CHEMBL1841,Positive,8.53,0,Enzyme_Kinase,2,0,
CHEMBL223360,CHEMBL1844,Positive,8.52,3,Enzyme_Kinase,2,3,
CHEMBL249097,CHEMBL3905,Positive,8.52,0,Enzyme_Kinase,2,1,
CHEMBL1096634,CHEMBL4282,Positive,8.52,0,Enzyme_Kinase,1,0,
CHEMBL1287853,CHEMBL2971,Positive,8.52,3,Enzyme_Kinase,2,2,
CHEMBL39,CHEMBL1983,Positive,8.52,3,membrance_receptor,0,0,
CHEMBL318892,CHEMBL260,Positive,8.52,0,Enzyme_Kinase,1,0,
CHEMBL566515,CHEMBL3987,Positive,8.52,0,Enzyme_Kinase,2,1,
CHEMBL572881,CHEMBL279,Positive,8.52,3,Enzyme_Kinase,2,1,
CHEMBL522892,CHEMBL1868,Positive,8.52,3,Enzyme_Kinase,2,0,
CHEMBL509032,CHEMBL1974,Positive,8.52,0,Enzyme_Kinase,2,2,
CHEMBL269883,CHEMBL301,Positive,8.52,0,Enzyme_Kinase,1,2,
CHEMBL189231,CHEMBL4237,Positive,8.52,0,Enzyme_Kinase,1,3,
CHEMBL522892,CHEMBL1974,Positive,8.52,3,Enzyme_Kinase,2,0,
CHEMBL491473,CHEMBL1955,Positive,8.52,3,Enzyme_Kinase,2,0,
CHEMBL3746293,CHEMBL5251,Positive,8.52,0,Enzyme_Kinase,2,0,
CHEMBL1873475,CHEMBL4367,Positive,8.52,4,Enzyme_Kinase,2,0,
CHEMBL259084,CHEMBL4722,Positive,8.505,1,Enzyme_Kinase,1,1,
CHEMBL521179,CHEMBL2973,Positive,8.505,0,Enzyme_Kinase,1,0,
CHEMBL1421,CHEMBL5251,Positive,8.496666667,4,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL2073,Positive,8.495,0,Enzyme_Kinase,2,0,
CHEMBL1230609,CHEMBL2689,Positive,8.49,2,Enzyme_Kinase,2,0,
CHEMBL4128926,CHEMBL1833,Positive,8.49,0,membrance_receptor,0,2,
CHEMBL288441,CHEMBL3234,Positive,8.49,4,Enzyme_Kinase,2,0,
CHEMBL1230609,CHEMBL1868,Positive,8.48,2,Enzyme_Kinase,2,0,
CHEMBL566515,CHEMBL3988,Positive,8.48,0,Enzyme_Kinase,2,1,
CHEMBL1873475,CHEMBL203,Positive,8.473333333,4,Enzyme_Kinase,2,0,
CHEMBL4128926,CHEMBL222,Positive,8.47,0,Transporter,0,2,
CHEMBL54,CHEMBL219,Positive,8.46,4,membrance_receptor,0,0,
CHEMBL302449,CHEMBL3045,Positive,8.455,0,Enzyme_Kinase,1,0,
CHEMBL1336,CHEMBL4128,Positive,8.453333333,4,Enzyme_Kinase,2,1,
CHEMBL1789941,CHEMBL3553,Positive,8.445,4,Enzyme_Kinase,2,3,
CHEMBL85,CHEMBL225,Positive,8.445,4,membrance_receptor,0,0,
CHEMBL388978,CHEMBL5627,Positive,8.44,0,Enzyme_Kinase,2,0,
CHEMBL1236107,CHEMBL3717,Positive,8.436666667,1,Enzyme_Kinase,2,3,
CHEMBL388978,CHEMBL299,Positive,8.425833333,0,Enzyme_Kinase,1,0,
CHEMBL31965,CHEMBL203,Positive,8.42,3,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL5684,Positive,8.42,0,Enzyme_Kinase,2,0,
CHEMBL519240,CHEMBL1889,Positive,8.41,0,membrance_receptor,0,0,
CHEMBL288441,CHEMBL5082,Positive,8.41,4,Enzyme_Kinase,1,0,
CHEMBL388978,CHEMBL2558,Positive,8.403333333,0,Enzyme_Kinase,1,0,
CHEMBL1241578,CHEMBL3234,Positive,8.4,0,Enzyme_Kinase,2,3,
CHEMBL248757,CHEMBL4630,Positive,8.4,0,Enzyme_Kinase,1,0,
CHEMBL3736320,CHEMBL5145,Positive,8.4,0,Enzyme_Kinase,2,3,
CHEMBL296468,CHEMBL3116,Positive,8.4,1,Enzyme_Kinase,1,0,
CHEMBL495696,CHEMBL331,Positive,8.4,0,Enzyme_Kinase,1,3,
CHEMBL4077554,CHEMBL3629,Positive,8.4,0,Enzyme_Kinase,1,0,
CHEMBL1233881,CHEMBL3130,Positive,8.4,0,Enzyme_Transferase,0,3,
CHEMBL50894,CHEMBL2850,Positive,8.4,0,Enzyme_Kinase,1,2,
CHEMBL468963,CHEMBL301,Positive,8.4,0,Enzyme_Kinase,1,0,
CHEMBL406845,CHEMBL258,Positive,8.4,0,Enzyme_Kinase,2,3,
CHEMBL188268,CHEMBL4237,Positive,8.4,0,Enzyme_Kinase,1,3,
CHEMBL388978,CHEMBL308,Positive,8.39,0,Enzyme_Kinase,1,0,
CHEMBL1789941,CHEMBL2971,Positive,8.386666667,4,Enzyme_Kinase,2,3,
CHEMBL514138,CHEMBL4588,Positive,8.385714286,0,Enzyme_Protease,0,2,
CHEMBL135,CHEMBL206,Positive,8.384347826,4,Trascription_factor,0,0,
CHEMBL521851,CHEMBL4005,Positive,8.382857143,2,Enzyme_Transferase,0,2,
CHEMBL120077,CHEMBL1913,Positive,8.38,0,Enzyme_Kinase,2,3,
CHEMBL21156,CHEMBL2971,Positive,8.37,0,Enzyme_Kinase,2,1,
CHEMBL460702,CHEMBL5314,Positive,8.37,2,Enzyme_Kinase,2,1,
CHEMBL54,CHEMBL217,Positive,8.366666667,4,membrance_receptor,0,0,
CHEMBL38,CHEMBL3091268,Positive,8.36,4,Trascription_factor,0,1,
CHEMBL511765,CHEMBL1957,Positive,8.36,0,Enzyme_Kinase,2,0,
CHEMBL1421,CHEMBL3290,Positive,8.36,4,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL4722,Positive,8.353636364,0,Enzyme_Kinase,1,0,
CHEMBL1230609,CHEMBL2007,Positive,8.35,2,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL4898,Positive,8.35,0,Enzyme_Kinase,2,0,
CHEMBL566515,CHEMBL4134,Positive,8.35,0,Enzyme_Kinase,2,1,
CHEMBL1789941,CHEMBL2835,Positive,8.340833333,4,Enzyme_Kinase,2,3,
CHEMBL1241578,CHEMBL1862,Positive,8.34,0,Enzyme_Kinase,2,3,
CHEMBL572878,CHEMBL3935,Positive,8.34,2,Enzyme_Kinase,1,0,
CHEMBL221959,CHEMBL2835,Positive,8.335714286,4,Enzyme_Kinase,2,0,
CHEMBL521851,CHEMBL3130,Positive,8.33,2,Enzyme_Transferase,0,2,
CHEMBL135,CHEMBL3429,Positive,8.33,4,Trascription_factor,0,0,
CHEMBL85,CHEMBL224,Positive,8.33,4,membrance_receptor,0,0,
CHEMBL388978,CHEMBL3582,Positive,8.328,0,Enzyme_Kinase,1,0,
CHEMBL1230609,CHEMBL1974,Positive,8.326,2,Enzyme_Kinase,2,0,
CHEMBL7463,CHEMBL299,Positive,8.32,0,Enzyme_Kinase,1,0,
CHEMBL81,CHEMBL3257,Positive,8.31,4,Enzyme_Oxidoreductase,0,0,
CHEMBL4128926,CHEMBL238,Positive,8.31,0,Transporter,0,2,
CHEMBL4128926,CHEMBL1899,Positive,8.31,0,Cytosolic_protein,0,2,
CHEMBL460702,CHEMBL3717,Positive,8.305714286,2,Enzyme_Kinase,2,1,
CHEMBL388978,CHEMBL258,Positive,8.304,0,Enzyme_Kinase,2,0,
CHEMBL1096626,CHEMBL4282,Positive,8.3,0,Enzyme_Kinase,1,0,
CHEMBL388978,CHEMBL3616,Positive,8.3,0,Enzyme_Kinase,1,0,
CHEMBL574738,CHEMBL1974,Positive,8.3,1,Enzyme_Kinase,2,0,
CHEMBL406845,CHEMBL3234,Positive,8.3,0,Enzyme_Kinase,2,3,
CHEMBL522892,CHEMBL1913,Positive,8.3,3,Enzyme_Kinase,2,0,
CHEMBL260417,CHEMBL301,Positive,8.3,0,Enzyme_Kinase,1,1,
CHEMBL1908842,CHEMBL1936,Positive,8.3,0,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL4273,Positive,8.3,0,Enzyme_Kinase,1,0,
CHEMBL1421,CHEMBL1844,Positive,8.3,4,Enzyme_Kinase,2,0,
CHEMBL491473,CHEMBL1868,Positive,8.3,3,Enzyme_Kinase,2,0,
CHEMBL475251,CHEMBL2041,Positive,8.3,2,Enzyme_Kinase,2,1,
CHEMBL494089,CHEMBL5818,Positive,8.3,1,Enzyme_Kinase,1,0,
CHEMBL475761,CHEMBL203,Positive,8.3,0,Enzyme_Kinase,2,0,
CHEMBL409450,CHEMBL2850,Positive,8.3,0,Enzyme_Kinase,1,1,
CHEMBL406821,CHEMBL3231,Positive,8.3,0,Enzyme_Kinase,1,2,
CHEMBL388978,CHEMBL4816,Positive,8.298,0,Enzyme_Kinase,1,0,
CHEMBL1873475,CHEMBL1824,Positive,8.293333333,4,Enzyme_Kinase,2,0,
CHEMBL522892,CHEMBL2742,Positive,8.285,3,Enzyme_Kinase,2,0,
CHEMBL135,CHEMBL3751,Positive,8.275,4,Trascription_factor,0,0,
CHEMBL388978,CHEMBL4247,Positive,8.272857143,0,Enzyme_Kinase,2,0,
CHEMBL91829,CHEMBL3045,Positive,8.271428571,3,Enzyme_Kinase,1,0,
CHEMBL522892,CHEMBL1936,Positive,8.266666667,3,Enzyme_Kinase,2,0,
CHEMBL567893,CHEMBL3092,Positive,8.26,0,Enzyme_Protease,0,0,
CHEMBL288441,CHEMBL5147,Positive,8.26,4,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL1955,Positive,8.255714286,0,Enzyme_Kinase,2,0,
CHEMBL413,CHEMBL2842,Positive,8.245,4,Enzyme_Kinase,0,0,
CHEMBL519240,CHEMBL2327,Positive,8.24,0,membrance_receptor,0,0,
CHEMBL7917,CHEMBL203,Positive,8.235,0,Enzyme_Kinase,2,1,
CHEMBL388978,CHEMBL4142,Positive,8.2325,0,Enzyme_Kinase,2,0,
CHEMBL558752,CHEMBL5145,Positive,8.23,2,Enzyme_Kinase,2,3,
CHEMBL50894,CHEMBL262,Positive,8.225,0,Enzyme_Kinase,1,2,
CHEMBL4128926,CHEMBL236,Positive,8.22,0,membrance_receptor,0,2,
CHEMBL572881,CHEMBL1955,Positive,8.22,3,Enzyme_Kinase,2,1,
CHEMBL494089,CHEMBL4311,Positive,8.22,1,Enzyme_Kinase,1,0,
CHEMBL1915438,CHEMBL4523,Positive,8.22,0,Enzyme_Kinase,1,3,
CHEMBL456252,CHEMBL1957,Positive,8.22,0,Enzyme_Kinase,2,0,
CHEMBL1096290,CHEMBL4282,Positive,8.22,0,Enzyme_Kinase,1,0,
CHEMBL475251,CHEMBL2971,Positive,8.22,2,Enzyme_Kinase,2,1,
CHEMBL175321,CHEMBL2815,Positive,8.22,0,Enzyme_Kinase,2,1,
CHEMBL1233882,CHEMBL3130,Positive,8.22,0,Enzyme_Transferase,0,3,
CHEMBL558752,CHEMBL1913,Positive,8.22,2,Enzyme_Kinase,2,3,
CHEMBL1794058,CHEMBL2815,Positive,8.22,0,Enzyme_Kinase,2,2,
CHEMBL468963,CHEMBL331,Positive,8.22,0,Enzyme_Kinase,1,0,
CHEMBL191003,CHEMBL308,Positive,8.22,0,Enzyme_Kinase,1,2,
CHEMBL21156,CHEMBL3553,Positive,8.214,0,Enzyme_Kinase,2,1,
CHEMBL502835,CHEMBL1913,Positive,8.21,4,Enzyme_Kinase,2,0,
CHEMBL1421,CHEMBL1862,Positive,8.21,4,Enzyme_Kinase,2,0,
CHEMBL1230609,CHEMBL1936,Positive,8.208333333,2,Enzyme_Kinase,2,0,
CHEMBL180022,CHEMBL203,Positive,8.2075,4,Enzyme_Kinase,2,0,
CHEMBL7463,CHEMBL3582,Positive,8.2,0,Enzyme_Kinase,1,0,
CHEMBL513897,CHEMBL1981,Positive,8.2,0,Enzyme_Kinase,2,0,
CHEMBL479079,CHEMBL279,Positive,8.2,0,Enzyme_Kinase,2,3,
CHEMBL603469,CHEMBL1974,Positive,8.195,3,Enzyme_Kinase,2,0,
CHEMBL1230020,CHEMBL1906,Positive,8.19,0,Enzyme_Kinase,2,2,
CHEMBL522892,CHEMBL2073,Positive,8.18,3,Enzyme_Kinase,2,0,
CHEMBL572878,CHEMBL4722,Positive,8.177692308,2,Enzyme_Kinase,1,0,
CHEMBL366266,CHEMBL3045,Positive,8.176,0,Enzyme_Kinase,1,0,
CHEMBL388978,CHEMBL5145,Positive,8.172,0,Enzyme_Kinase,2,0,
CHEMBL410072,CHEMBL301,Positive,8.17,0,Enzyme_Kinase,1,2,
CHEMBL514138,CHEMBL2200,Positive,8.17,0,Enzyme_Protease,0,2,
CHEMBL428496,CHEMBL3130,Positive,8.166666667,0,Enzyme_Transferase,0,0,
CHEMBL1336,CHEMBL1955,Positive,8.16,4,Enzyme_Kinase,2,1,
CHEMBL388978,CHEMBL4442,Positive,8.16,0,Enzyme_Kinase,1,0,
CHEMBL388978,CHEMBL1913,Positive,8.1525,0,Enzyme_Kinase,2,0,
CHEMBL85,CHEMBL217,Positive,8.15,4,membrance_receptor,0,0,
CHEMBL408564,CHEMBL262,Positive,8.15,0,Enzyme_Kinase,1,3,
CHEMBL273564,CHEMBL1868,Positive,8.15,0,Enzyme_Kinase,2,1,
CHEMBL2402081,CHEMBL5938,Positive,8.15,0,Enzyme_Kinase,1,3,
